"code","description_nl","name_en","name"
RIZIV-50,Kinesist,Physiotherapists,Healthcare
RIZIV-10-S09,Uroloog,Specialist Medical Practice,Healthcare
RIZIV-30-T07,Orthodont,Orthodontists,Healthcare
"86940",Activiteiten van verpleegkundigen en verloskundigen,Nurses,Healthcare
RIZIV-30-T06,Parodont,Periodonts,Healthcare
"51220",Ruimtevaart,Other transport & logistics,Transport & logistics
RIZIV-65,Ergotherapeut,Physiotherapists,Healthcare
"47742","Detailhandel in corrigerende brillen, lenzen en zonnebrillen",Optician,Healthcare
RIZIV-40,Vroedvrouw,Nurses,Healthcare
RIZIV-98,Pedagoog,Pedagogue,Healthcare
"87303",Instellingen met huisvesting voor minderjarigen met een lichamelijke handicap,Nursing institutions,Healthcare
"87209",Andere instellingen met huisvesting voor personen met een mentale handicap of psychiatrische problemen en voor drugs- en alcoholverslaafden,Nursing institutions,Healthcare
RIZIV-56,Diëtist,Dietitians,Healthcare
"86939",Andere activiteiten op het gebied van de geestelijke gezondheidszorg,Psychologists,Healthcare
"43320*","",Interior carpentry,Construction
"52100",Opslag,Warehousing,Transport & logistics
"43320_in",Binnenschrijnwerk,Interior carpentry,Construction
"43320_ex",Buitenschrijnwerk,Exterior carpentry,Construction
"32110",Slaan van munten,Other metallurgy,Metallurgy
"43910",Metselwerk,Ground works and shell construction,Construction
"46620",Groothandel in gereedschapswerktuigen,Professional electronical appliances,Electronics & Electrical goods
"01150",Teelt van tabak,Cultivation of anual crops,Agriculture
"01160",Teelt van vezelgewassen,Cultivation of anual crops,Agriculture
"01191",Teelt van bloemen,Cultivation of anual crops,Agriculture
"01210",Teelt van druiven,Cultivation of fruit and vegetables,Agriculture
"01110","Teelt van andere granen dan rijst, en van peulgewassen en oliehoudende zaden",Cultivation of anual crops,Agriculture
"01130","Teelt van groenten, meloenen en wortel- en knolgewassen",Cultivation of anual crops,Agriculture
"01220",Teelt van tropisch en subtropisch fruit,Cultivation of fruit and vegetables,Agriculture
"01230",Teelt van citrusvruchten,Cultivation of fruit and vegetables,Agriculture
"01240",Teelt van pit- en steenvruchten,Cultivation of fruit and vegetables,Agriculture
"01250","Teelt van andere boomvruchten, kleinfruit en noten",Cultivation of fruit and vegetables,Agriculture
"01260",Teelt van oliehoudende vruchten,Cultivation of fruit and vegetables,Agriculture
"01270",Teelt van gewassen bestemd voor de vervaardiging van dranken,Other agriculture,Agriculture
"01280",Teelt van specerijgewassen en van aromatische en medicinale gewassen,Other agriculture,Agriculture
"01301","Boomkwekerijen, m.u.v. bosboomkwekerijen",Other agriculture,Agriculture
"01420",Fokken en houden van andere runderen en buffels,Cattle breeding,Agriculture
"01440",Fokken en houden van kamelen en andere kameelachtigen,Cattle breeding,Agriculture
"01450",Fokken en houden van schapen en geiten,Cattle breeding,Agriculture
"01461",Fokvarkenshouderijen,Cattle breeding,Agriculture
"01462",Varkensvetmesterijen,Cattle breeding,Agriculture
"01471",Kippenkwekerijen,Cattle breeding,Agriculture
"01472",Productie van eieren van pluimvee,Cattle breeding,Agriculture
"01479","Pluimveehouderijen, m.u.v. kippenkwekerijen",Cattle breeding,Agriculture
"01480",Fokken en houden van andere dieren,Cattle breeding,Agriculture
"01610",Ondersteunende activiteiten in verband met de teelt van gewassen,Supporting services or goods for agriculture,Agriculture
"01630",Behandeling van gewassen na de oogst en van zaden voor vermeerdering,Supporting services or goods for agriculture,Agriculture
"03110",Zeevisserij,Fish processing,Food & beverages
"03120",Binnenvisserij,Fish processing,Food & beverages
"03300",Ondersteunende activiteiten voor visserij en aquacultuur,Fish processing,Food & beverages
"08111",Winning van sier- en bouwsteen,Mining & production of construction material,Construction
"08112","Winning van kalksteen, gips, leisteen en andere steen",Mining & production of construction material,Construction
"08121",Winning van grind,Mining & production of construction material,Construction
"08122",Winning van zand,Mining & production of construction material,Construction
"08910",Winning van mineralen voor de chemische en de kunstmestindustrie,Mining of raw materials for chemistry & petrol,Chemistry & petrol
"08930",Zoutwinning,Other food & beverages,Food & beverages
"09900",Ondersteunende activiteiten in verband met de overige winning van delfstoffen,Other chemical & petrol,Chemistry & petrol
"10111",Activiteiten van slachthuizen,Meat processing,Food & beverages
"10112",Activiteiten van uitsnijderijen,Meat processing,Food & beverages
"10113",Verwerking van afgeleide producten van vlees,Meat processing,Food & beverages
"10119","Overige verwerking en conservering van vlees, met uitzondering van vlees van gevogelte",Meat processing,Food & beverages
"10120",Verwerking en conservering van vlees van gevogelte,Meat processing,Food & beverages
"10130",Vervaardiging van producten van vlees of van vlees van gevogelte,Meat processing,Food & beverages
"10200",Verwerking en conservering van vis en van schaal- en weekdieren,Fish processing,Food & beverages
"16220",Vervaardiging van geassembleerde parketvloeren,Wood processing,Wood
"10311","Verwerking en conservering van aardappelen, exclusief productie van diepgevroren aardappelbereidingen",Fruit and vegetables processing,Food & beverages
"10312",Productie van diepgevroren aardappelbereidingen,Fruit and vegetables processing,Food & beverages
"10320",Vervaardiging van groente- en fruitsappen,Fruit and vegetables processing,Food & beverages
"10391","Verwerking en conservering van groenten, exclusief productie van diepgevroren groenten",Fruit and vegetables processing,Food & beverages
"10392","Verwerking en conservering van fruit, exclusief productie van diepgevroren fruit",Fruit and vegetables processing,Food & beverages
"10393",Productie van diepgevroren groenten en fruit,Fruit and vegetables processing,Food & beverages
"10410",Vervaardiging van oliën en vetten,Fruit and vegetables processing,Food & beverages
"10420",Vervaardiging van margarine en andere spijsvetten,Other food & beverages,Food & beverages
"10510",Vervaardiging van zuivelproducten,Dairy processing,Food & beverages
"10520",Vervaardiging van roomijs en ander consumptie-ijs,Dairy processing,Food & beverages
"10610",Vervaardiging van maalderijproducten,Other food & beverages,Food & beverages
"10620",Vervaardiging van zetmeel en zetmeelproducten,Other food & beverages,Food & beverages
"10711",Industriële vervaardiging van brood en van vers banketbakkerswerk,Bakeries,Food & beverages
"10712",Ambachtelijke vervaardiging van brood en van vers banketbakkerswerk,Bakeries,Food & beverages
"10720","Vervaardiging van beschuit, biscuit en houdbaar banketbakkerswerk",Bakeries,Food & beverages
"10730",Vervaardiging van deegwaren,Other food & beverages,Food & beverages
"10810",Vervaardiging van suiker,Other food & beverages,Food & beverages
"10820","Vervaardiging van cacao, chocolade en suikerwerk",Other food & beverages,Food & beverages
"10830",Verwerking van thee en koffie,Other food & beverages,Food & beverages
"10840","Vervaardiging van specerijen, sauzen en kruiderijen",Other food & beverages,Food & beverages
"10850",Vervaardiging van bereide maaltijden en schotels,Other food & beverages,Food & beverages
"10860",Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding,Other food & beverages,Food & beverages
"10890","Vervaardiging van andere voedingsmiddelen, n.e.g.",Other food & beverages,Food & beverages
"10910",Vervaardiging van veevoeders,Supporting services or goods for agriculture,Agriculture
"10920",Vervaardiging van voeders voor huisdieren,Animal food,Animal care
"11010","Vervaardiging van gedistilleerde dranken door distilleren, rectificeren en mengen",Beverages,Food & beverages
"11020",Vervaardiging van wijn uit druiven,Beverages,Food & beverages
"16230",Vervaardiging van ander schrijn- en timmerwerk,Wood processing,Wood
"11030",Vervaardiging van cider en andere gefermenteerde vruchtendranken,Beverages,Food & beverages
"11040",Vervaardiging van andere niet-gedistilleerde gegiste dranken,Beverages,Food & beverages
"11050",Vervaardiging van bier,Beverages,Food & beverages
"11060",Vervaardiging van mout,Beverages,Food & beverages
"11070",Vervaardiging van frisdranken en water in flessen,Beverages,Food & beverages
"12000",Vervaardiging van tabaksproducten,Other food & beverages,Food & beverages
"13100",Bewerken en spinnen van textielvezels,Textile production,Textile
"13200",Weven van textiel,Textile production,Textile
"13300",Textielveredeling,Textile production,Textile
"13910",Vervaardiging van gebreide en gehaakte stoffen,Textile production,Textile
"13921","Vervaardiging van beddengoed, tafellinnen en textielwaren voor huishoudelijk gebruik",Textile production,Textile
"13929","Vervaardiging van overige geconfectioneerde artikelen van textiel, m.u.v. kleding",Textile production,Textile
"13930",Vervaardiging van vloerkleden en tapijt,Textile production,Textile
"13940","Vervaardiging van koord, bindgaren, touw en netten",Textile production,Textile
"13950",Vervaardiging van ongeweven stoffen en artikelen van ongeweven stoffen,Textile production,Textile
"13960",Vervaardiging van ander technisch en industrieel textiel,Textile production,Textile
"13990","Vervaardiging van andere textielproducten, n.e.g.",Textile production,Textile
"14100",Vervaardiging van gebreide en gehaakte kleding,Production of cloths & shoes,Textile
"14210",Vervaardiging van bovenkleding,Production of cloths & shoes,Textile
"14220",Vervaardiging van onderkleding,Production of cloths & shoes,Textile
"14230",Vervaardiging van werkkleding,Production of cloths & shoes,Textile
"14240",Vervaardiging van kleding van leer en van bont,Production of cloths & shoes,Textile
"14291",Vervaardiging van hoeden en petten,Production of cloths & shoes,Textile
"14299","Vervaardiging van overige kleding en toebehoren, n.e.g.",Production of cloths & shoes,Textile
"15110","Looien, bereiden en verven van leder en bont",Production of cloths & shoes,Textile
"15120","Vervaardiging van koffers, tassen, zadel- en tuigmakerswerk van ongeacht welk materiaal",Production of cloths & shoes,Textile
"15200",Vervaardiging van schoeisel,Production of cloths & shoes,Textile
"16110",Zagen en schaven van hout,Wood processing,Wood
"16120",Verwerking en afwerking van hout,Wood processing,Wood
"16210",Vervaardiging van fineer en van panelen op basis van hout,Wood processing,Wood
"16240",Vervaardiging van houten emballage,Other wood activities,Wood
"16250",Vervaardiging van houten deuren en vensters,Wood processing,Wood
"16260",Vervaardiging van vaste brandstoffen uit plantaardige biomassa,Wood processing,Wood
"16270",Afwerking van houten producten,Wood processing,Wood
"16281",Vervaardiging van andere artikelen van hout,Wood processing,Wood
"16282","Vervaardiging van artikelen van kurk, riet of vlechtwerk",Other wood activities,Wood
"17110",Vervaardiging van papierpulp,Paper industry,Chemistry & petrol
"17120",Vervaardiging van papier en karton,Paper industry,Chemistry & petrol
"17210","Vervaardiging van gegolfd papier, golfkarton en verpakkingsmateriaal van papier en karton",Paper industry,Chemistry & petrol
"17220",Vervaardiging van huishoudelijke en sanitaire papierwaren,Paper industry,Chemistry & petrol
"17230",Vervaardiging van kantoorbenodigdheden van papier,Paper industry,Chemistry & petrol
"17240",Vervaardiging van behangpapier,Other interior decoration,Furniture & decoration
"17250",Vervaardiging van andere artikelen van papier of karton,Paper industry,Chemistry & petrol
"18110",Drukken van dagbladen,Newspapers & magazines,Media
"18120",Overige activiteiten op het gebied van drukwerk,Printing services,Marketing
"18130",Prepress- en premediadiensten,Printing services,Marketing
"18140",Activiteiten van binderijen en aanverwante diensten,Printing services,Marketing
"18200",Reproductie van opgenomen media,Other arts & events,Arts & events
"19100",Vervaardiging van cokesovenproducten,Mining of raw materials for chemistry & petrol,Chemistry & petrol
"19200",Vervaardiging van geraffineerde aardolieproducten en van producten uit fossiele brandstoffen,Other chemical & petrol,Chemistry & petrol
"20110",Vervaardiging van industriële gassen,Mining of raw materials for chemistry & petrol,Chemistry & petrol
"20120",Vervaardiging van kleurstoffen en pigmenten,Mining of raw materials for chemistry & petrol,Chemistry & petrol
"20130",Vervaardiging van andere anorganische chemische basisproducten,Mining of raw materials for chemistry & petrol,Chemistry & petrol
"20140",Vervaardiging van andere organische chemische basisproducten,Mining of raw materials for chemistry & petrol,Chemistry & petrol
"20150",Vervaardiging van kunstmeststoffen en stikstofverbindingen,Mining of raw materials for chemistry & petrol,Chemistry & petrol
"20160",Vervaardiging van kunststoffen in primaire vormen,Production & distribution of plastic material,Rubber & plastics
"20170",Vervaardiging van synthetische rubber in primaire vormen,Production & distribution of rubber material,Rubber & plastics
"20200","Vervaardiging van verdelgingsmiddelen, ontsmettingsmiddelen en andere chemische producten voor de landbouw",Mining of raw materials for chemistry & petrol,Chemistry & petrol
"20300","Vervaardiging van verf, vernis e.d., drukinkt en mastiek",Mining of raw materials for chemistry & petrol,Chemistry & petrol
"58110",Uitgeven van boeken,Publisher,Media
"20411",Vervaardiging van zeep en wasmiddelen,Mining of raw materials for chemistry & petrol,Chemistry & petrol
"20412",Vervaardiging van poets- en reinigingsmiddelen,Mining of raw materials for chemistry & petrol,Chemistry & petrol
"20420",Vervaardiging van parfums en toiletartikelen,Cosmetics,Luxury
"20510",Vervaardiging van vloeibare biobrandstoffen,Other chemical & petrol,Chemistry & petrol
"20590","Vervaardiging van andere chemische producten, n.e.g.",Mining of raw materials for chemistry & petrol,Chemistry & petrol
"20600",Vervaardiging van synthetische en kunstmatige vezels,Mining of raw materials for chemistry & petrol,Chemistry & petrol
"21100",Vervaardiging van farmaceutische grondstoffen,Production of pharmaceutics,Pharmaceutics
"21201",Vervaardiging van geneesmiddelen,Production of pharmaceutics,Pharmaceutics
"21209",Vervaardiging van overige farmaceutische producten,Production of pharmaceutics,Pharmaceutics
"22110",Vervaardiging en loopvlakvernieuwing van rubberbanden en vervaardiging van binnenbanden,Production & distribution of rubber material,Rubber & plastics
"22120",Vervaardiging van andere producten van rubber,Production & distribution of rubber material,Rubber & plastics
"22210","Vervaardiging van platen, vellen, buizen en profielen van kunststof",Production & distribution of plastic material,Rubber & plastics
"22220",Vervaardiging van verpakkingsmateriaal van kunststof,Production & distribution of plastic material,Rubber & plastics
"22230",Vervaardiging van deuren en vensters van kunststof,Production & distribution of plastic material,Rubber & plastics
"22240",Vervaardiging van kunststofartikelen voor de bouw,Production & distribution of plastic material,Rubber & plastics
"22250",Verwerking en afwerking van kunststofproducten,Production & distribution of plastic material,Rubber & plastics
"22260",Vervaardiging van andere producten van kunststof,Production & distribution of plastic material,Rubber & plastics
"23110",Vervaardiging van vlakglas,Mining & production of construction material,Construction
"23120",Vormen en bewerken van vlakglas,Mining & production of construction material,Construction
"23130",Vervaardiging van holglas,Mining & production of construction material,Construction
"23140",Vervaardiging van glasvezels,Mining & production of construction material,Construction
"23150","Vervaardiging en bewerking van overig glas, inclusief technisch glaswerk",Mining & production of construction material,Construction
"23200",Vervaardiging van vuurvaste producten,Mining & production of construction material,Construction
"23310",Vervaardiging van keramische tegels en plavuizen,Mining & production of construction material,Construction
"23321",Vervaardiging van bakstenen,Mining & production of construction material,Construction
"23322","Vervaardiging dakpannen, tegels en andere producten voor de bouw, van gebakken klei",Mining & production of construction material,Construction
"23410",Vervaardiging van huishoudelijk en sieraardewerk,Other interior decoration,Furniture & decoration
"23420",Vervaardiging van sanitair aardewerk,Mining & production of construction material,Construction
"23430","Vervaardiging van isolatoren en isolatiemateriaal, van keramische stoffen",Mining & production of construction material,Construction
"23440",Vervaardiging van ander technisch aardewerk,Mining & production of construction material,Construction
"23450",Vervaardiging van andere keramische producten,Mining & production of construction material,Construction
"23510",Vervaardiging van cement,Mining & production of construction material,Construction
"23520",Vervaardiging van kalk en gips,Mining & production of construction material,Construction
"23610",Vervaardiging van artikelen van beton voor de bouw,Mining & production of construction material,Construction
"23620",Vervaardiging van artikelen van gips voor de bouw,Mining & production of construction material,Construction
"23630",Vervaardiging van stortklare beton,Mining & production of construction material,Construction
"23640",Vervaardiging van mortel,Mining & production of construction material,Construction
"23650",Vervaardiging van producten van vezelcement,Mining & production of construction material,Construction
"23660","Vervaardiging van andere artikelen van beton, cement en gips",Mining & production of construction material,Construction
"23700","Houwen, bewerken en afwerken van natuursteen",Mining & production of construction material,Construction
"23910",Vervaardiging van schuurmiddelen,Mining & production of construction material,Construction
"23990","Vervaardiging van andere niet-metaalhoudende minerale producten, n.e.g.",Mining of raw materials for chemistry & petrol,Chemistry & petrol
"24100",Vervaardiging van ijzer en staal en van ferrolegeringen,Steel production,Metallurgy
"24200","Vervaardiging van buizen, pijpen, holle profielen en fittings daarvoor, van staal",Steel production,Metallurgy
"24310",Koudtrekken van staven,Steel production,Metallurgy
"24320",Koudwalsen van bandstaal,Steel production,Metallurgy
"24330",Koudvervormen of koudfelsen,Steel production,Metallurgy
"24340",Koudtrekken van draad,Steel production,Metallurgy
"24410",Productie van edelmetalen,Other metallurgy,Metallurgy
"24420",Productie van aluminium,Other metallurgy,Metallurgy
"24430","Productie van lood, zink en tin",Other metallurgy,Metallurgy
"24440",Productie van koper,Other metallurgy,Metallurgy
"24450",Productie van andere non-ferrometalen,Other metallurgy,Metallurgy
"24460",Bewerking van splijt- en kweekstoffen,Mining of raw materials for chemistry & petrol,Chemistry & petrol
"24510",Gieten van ijzer,Steel production,Metallurgy
"24520",Gieten van staal,Steel production,Metallurgy
"24530",Gieten van lichte metalen,Other metallurgy,Metallurgy
"24540",Gieten van andere non-ferrometalen,Other metallurgy,Metallurgy
"25110",Vervaardiging van metalen constructiewerken en delen daarvan,Steelworking,Metallurgy
"25120",Vervaardiging van metalen deuren en vensters,Steelworking,Metallurgy
"25210","Vervaardiging van radiatoren, stoomketels en ketels voor centrale verwarming",Technical systems in building,Construction
"58120",Uitgeven van kranten,Newspapers & magazines,Media
"25220","Vervaardiging van andere tanks, reservoirs en bergingsmiddelen, van metaal",Other industry,Industry
"25300",Vervaardiging van wapens en munitie,Other industry,Industry
"25401",Smeden van metaal,Steelworking,Metallurgy
"25402",Bewerken van metaal en poedermetallurgie,Steel production,Metallurgy
"25510",Coating van metalen,Steel production,Metallurgy
"25520",Warmtebehandeling van metaal,Steelworking,Metallurgy
"25530",Verspanend bewerken van metalen,Steelworking,Metallurgy
"25610","Vervaardiging van scharen, messen, bestekken enz.",Steelworking,Metallurgy
"25620",Vervaardiging van hang- en sluitwerk,Steelworking,Metallurgy
"25631",Vervaardiging van vormkasten en gietvormen,Steelworking,Metallurgy
"25639","Vervaardiging van gereedschap, m.u.v. vormkasten en gietvormen",Steelworking,Metallurgy
"25910",Vervaardiging van stalen vaten en dergelijke,Steelworking,Metallurgy
"25920",Vervaardiging van verpakkingsmiddelen van licht metaal,Other metallurgy,Metallurgy
"25930",Vervaardiging van artikelen van draad en van kettingen en veren,Steelworking,Metallurgy
"25940","Vervaardiging van bouten, schroeven en moeren",Steelworking,Metallurgy
"25991",Vervaardiging van huishoudelijke en sanitaire producten van metaal,Steelworking,Metallurgy
"25999","Vervaardiging van overige producten van metaal, n.e.g.",Steelworking,Metallurgy
"26110",Vervaardiging van elektronische onderdelen,Other electronics,Electronics & Electrical goods
"26120",Vervaardiging van elektronische printplaten,Other electronics,Electronics & Electrical goods
"26200",Vervaardiging van computers en randapparatuur,Other electronics,Electronics & Electrical goods
"26300",Vervaardiging van communicatieapparatuur,Other electronics,Electronics & Electrical goods
"26400",Vervaardiging van consumentenelektronica,Consumer electronical appliances,Electronics & Electrical goods
"26510","Vervaardiging van meet-, controle- en navigatie-instrumenten en -apparatuur",Professional electronical appliances,Electronics & Electrical goods
"26520",Vervaardiging van klokken en horloges,Jewelry,Luxury
"26600",Vervaardiging van bestralingsapparatuur en van elektromedische en elektrotherapeutische apparatuur,Medical appliances,Healthcare
"26700","Vervaardiging van optische instrumenten, magnetische en optische dragers en fotografische apparatuur",Consumer electronical appliances,Electronics & Electrical goods
"27110",Vervaardiging van elektromotoren en van elektrische generatoren en transformatoren,Professional electronical appliances,Electronics & Electrical goods
"27120",Vervaardiging van schakel- en verdeelinrichtingen,Professional electronical appliances,Electronics & Electrical goods
"27200",Vervaardiging van batterijen en accumulatoren,Other electronics,Electronics & Electrical goods
"27310",Vervaardiging van kabels van optische vezels,Electrical installation goods,Electronics & Electrical goods
"27320",Vervaardiging van andere elektrische en elektronische draden en kabels,Electrical installation goods,Electronics & Electrical goods
"27330",Vervaardiging van onderdelen van elektrische installaties,Electrical installation goods,Electronics & Electrical goods
"27401",Vervaardiging van lampen,Lighting,Electronics & Electrical goods
"27402",Vervaardiging van verlichtingsapparaten,Lighting,Electronics & Electrical goods
"27510",Vervaardiging van elektrische huishoudapparaten,Consumer electronical appliances,Electronics & Electrical goods
"27520",Vervaardiging van niet-elektrische huishoudapparaten,Other,Other
"27900",Vervaardiging van andere elektrische apparatuur,Consumer electronical appliances,Electronics & Electrical goods
"28110","Vervaardiging van motoren en turbines, exclusief motoren voor luchtvaartuigen, motorvoertuigen en bromfietsen",Production of industrial machinery,Industry
"28120",Vervaardiging van hydraulische en pneumatische apparatuur,Production of industrial machinery,Industry
"28130",Vervaardiging van andere pompen en compressoren,Professional electronical appliances,Electronics & Electrical goods
"28140",Vervaardiging van andere kranen en dergelijke artikelen,Production of industrial machinery,Industry
"28150","Vervaardiging van tandwielen, lagers en andere drijfwerkelementen",Production of industrial machinery,Industry
"28210",Vervaardiging van ovens en permanente verwarmingstoestellen voor huishoudelijk gebruik,Production of industrial machinery,Industry
"28220","Vervaardiging van hijs-, hef- en transportwerktuigen",Production of vehicles,Automotive
"28230",Vervaardiging van kantoormachines en -uitrusting (exclusief computers en randapparatuur),Professional electronical appliances,Electronics & Electrical goods
"28240",Vervaardiging van elektrisch handgereedschap,Professional electronical appliances,Electronics & Electrical goods
"28250","Vervaardiging van machines en apparaten voor klimaatregeling, voor niet-huishoudelijk gebruik",Professional electronical appliances,Electronics & Electrical goods
"28291",Vervaardiging van verpakkingsmachines,Production of industrial machinery,Industry
"28292",Vervaardiging van weegtoestellen,Production of industrial machinery,Industry
"28293","Vervaardiging van toestellen voor het spuiten van vloeistoffen of poeder, inclusief brandblusapparaten",Production of industrial machinery,Industry
"28294",Vervaardiging van verkoopautomaten,Production of industrial machinery,Industry
"28295",Vervaardiging van filtreertoestellen,Production of industrial machinery,Industry
"28296","Vervaardiging van hogedrukreinigers, zandstraalapparaten en dergelijk reinigingsmateriaal",Production of industrial machinery,Industry
"28299","Vervaardiging van overige machines en apparaten voor algemeen gebruik, n.e.g.",Other,Other
"28300",Vervaardiging van machines voor de landbouw en de bosbouw,Supporting services or goods for agriculture,Agriculture
"28410",Vervaardiging van niet-verspanende machines voor de metaalbewerking en van gereedschapswerktuigen voor metaalbewerking,Production of industrial machinery,Industry
"28420",Vervaardiging van andere gereedschapswerktuigen,Production of industrial machinery,Industry
"28910",Vervaardiging van machines voor de metallurgie,Production of industrial machinery,Industry
"28920",Vervaardiging van machines voor de winning van delfstoffen en voor de bouw,Production of industrial machinery,Industry
"28930",Vervaardiging van machines voor de productie van voedings- en genotmiddelen,Production of industrial machinery,Industry
"28940","Vervaardiging van machines voor de productie van textiel, kleding en leer",Production of industrial machinery,Industry
"28950",Vervaardiging van machines voor de productie van papier en karton,Production of industrial machinery,Industry
"28960",Vervaardiging van machines voor de kunststof- en rubberindustrie,Production of industrial machinery,Industry
"28970",Vervaardiging van machines voor additieve productie,Production of industrial machinery,Industry
"28990",Vervaardiging van andere machines voor specifieke doeleinden n.e.g.,Production of industrial machinery,Industry
"29100",Vervaardiging van motorvoertuigen,Production of vehicles,Automotive
"29201",Vervaardiging van carrosserieën voor motorvoertuigen,Production of vehicles,Automotive
"29202","Vervaardiging van aanhangwagens, opleggers en caravans",Production of vehicles,Automotive
"29310",Vervaardiging van elektrische en elektronische benodigdheden voor motorvoertuigen,Production of vehicles,Automotive
"29320",Vervaardiging van andere delen en toebehoren voor motorvoertuigen,Production of vehicles,Automotive
